,STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT06,WT08
432,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-08,7.61,0.02,0.0,0.0,,59,47,1.0,,,,,
433,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-09,8.72,0.0,0.0,0.0,,61,47,,,,,,
434,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-10,7.61,0.31,2.1,0.0,,47,23,1.0,1.0,,,,
435,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-11,9.62,0.0,0.0,1.2,,29,17,,,,,,
436,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-12,8.95,0.0,0.0,0.0,,29,19,,,,,,
437,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-13,4.47,0.0,0.0,0.0,,36,20,,,,,,
438,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-14,13.42,1.97,7.6,3.9,,32,21,1.0,1.0,,,,1.0
439,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-15,11.63,0.0,0.0,5.9,,26,20,,,,,,1.0
440,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-16,7.83,0.0,0.0,5.1,,39,24,,,,,,
441,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-17,6.49,0.0,0.0,3.9,,47,29,,,,,,
442,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-18,8.72,0.08,0.0,3.1,,39,34,1.0,,,,,1.0
443,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-19,8.28,0.0,0.0,3.1,,47,34,,,,,,
444,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-20,5.14,0.0,0.0,0.0,,52,33,,,,,,
445,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-21,4.03,0.0,0.0,0.0,,59,42,,,,,,
446,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-22,11.41,0.0,0.0,0.0,,50,24,,,,,,
447,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-23,4.92,0.0,0.0,0.0,,42,23,,,,,,
448,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-24,6.26,0.0,0.0,0.0,,57,36,,,,,,
449,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-25,6.71,0.01,0.0,0.0,,62,42,1.0,,,,,
450,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-26,8.28,0.14,0.0,0.0,,42,37,1.0,,,,,
451,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-27,4.25,0.26,0.0,0.0,,53,37,1.0,,,,,1.0
452,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-28,5.82,0.72,0.0,0.0,,46,41,1.0,,,,,
453,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-29,7.83,0.0,0.0,0.0,,60,42,1.0,,,,,
454,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-30,5.82,0.01,0.0,0.0,,52,38,,,,,,
455,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-31,10.29,1.51,0.0,0.0,,43,37,1.0,,,,,
456,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-01,7.61,0.0,0.0,0.0,,48,37,1.0,,,,,
457,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-02,5.37,0.0,0.0,0.0,,63,40,,,,,,
458,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-03,4.92,0.03,0.0,0.0,,63,48,,,,,,
459,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-04,6.93,1.18,0.0,0.0,,51,45,1.0,,,,,
460,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-05,3.36,0.0,0.0,0.0,,65,45,1.0,,,,,1.0
461,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-06,9.17,0.73,0.0,0.0,,53,40,1.0,,,,,
462,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-07,10.51,0.0,0.0,0.0,,51,40,,,,,,
463,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-08,8.28,0.0,0.0,0.0,,57,40,,,,,,
464,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-09,4.92,0.0,0.0,0.0,,67,45,,,,,,
465,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-10,6.04,0.0,0.0,0.0,,74,53,,,,,,
466,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-11,5.59,0.0,0.0,0.0,,80,61,,,,,,
467,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-12,2.91,0.02,0.0,0.0,,76,58,,,,,,
468,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-13,5.14,0.0,0.0,0.0,,65,48,,,,,,
469,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-14,3.8,0.0,0.0,0.0,,66,48,,,,,,
470,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-15,5.59,0.0,0.0,0.0,,65,51,,,,,,
471,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-16,7.38,0.0,0.0,0.0,,87,59,,,,,,
472,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-17,6.71,0.0,0.0,0.0,,74,58,,,,,,
473,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-18,6.93,0.0,0.0,0.0,,65,47,,,,,,
474,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-19,5.59,0.0,0.0,0.0,,54,45,,,,,,
475,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-20,4.03,0.17,0.0,0.0,,66,50,1.0,,,,,1.0
476,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-21,7.38,0.29,0.0,0.0,,53,48,1.0,,,,,
477,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-22,3.58,0.11,0.0,0.0,,57,49,1.0,,,,,
478,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-23,4.92,0.0,0.0,0.0,,66,46,,,,,,
479,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-24,3.58,0.0,0.0,0.0,,60,48,,,,,,
480,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-25,13.2,0.91,0.0,0.0,,54,49,1.0,,,,,
481,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-26,4.92,0.34,0.0,0.0,,60,53,1.0,,,,,
482,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-27,2.91,0.0,0.0,0.0,,70,57,1.0,,,,,1.0
483,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-28,3.13,0.0,0.0,0.0,,85,58,1.0,,,,,1.0
484,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-29,5.14,0.06,0.0,0.0,,85,64,1.0,,,,,
485,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-30,6.71,0.0,0.0,0.0,,67,52,,,,,,
486,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-01,5.14,0.0,0.0,0.0,,74,49,1.0,,,,,1.0
487,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-02,7.83,0.0,0.0,0.0,,75,62,1.0,,,,,
488,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-03,8.28,0.0,0.0,0.0,,65,51,,,,,,
489,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-04,5.37,0.0,0.0,0.0,,64,47,,,,,,
490,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-05,6.49,3.02,0.0,0.0,,59,51,1.0,1.0,,,,
491,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-06,6.04,0.18,0.0,0.0,,67,52,1.0,,,,,
492,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-07,5.59,0.01,0.0,0.0,,56,47,,,,,,
493,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-08,5.82,0.0,0.0,0.0,,57,44,,,,,,
494,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-09,4.47,0.0,0.0,0.0,,63,47,,,,,,
495,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-10,3.36,0.0,0.0,0.0,,63,49,,,,,,
496,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-11,3.58,0.0,0.0,0.0,,62,51,,,,,,
497,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-12,4.03,0.0,0.0,0.0,,65,48,,,,,,
498,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-13,7.61,1.61,0.0,0.0,,53,45,1.0,,,,,
499,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-14,5.37,0.02,0.0,0.0,,67,46,,,,,,
500,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-15,8.95,0.0,0.0,0.0,,68,53,,,,,,
501,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-16,4.25,0.0,0.0,0.0,,79,56,,,,,,1.0
502,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-17,5.59,0.0,0.0,0.0,,90,65,,,,,,
503,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-18,5.59,0.0,0.0,0.0,,92,75,,,,,,
504,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-19,6.26,0.0,0.0,0.0,,91,66,,,,,,
505,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-20,4.03,0.01,0.0,0.0,,65,55,,,,,,1.0
506,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-21,4.03,0.0,0.0,0.0,,69,52,,,,,,
507,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-22,2.68,0.59,0.0,0.0,,61,53,1.0,,,,,
508,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-23,2.24,0.0,0.0,0.0,,69,56,1.0,,,,,
509,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-24,4.92,0.04,0.0,0.0,,69,56,1.0,,,,,
510,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-25,8.05,0.58,0.0,0.0,,59,56,1.0,,,,,
511,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-26,4.92,0.1,0.0,0.0,,73,56,1.0,,,,,
512,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-27,3.13,0.0,0.0,0.0,,71,59,,,,,,
513,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-28,4.47,0.0,0.0,0.0,,71,58,1.0,,,,,1.0
514,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-29,5.14,0.13,0.0,0.0,,61,56,1.0,,,,,
515,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-30,2.68,0.06,0.0,0.0,,60,55,1.0,,,,,
516,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-31,2.46,0.03,0.0,0.0,,75,58,1.0,,,,,
517,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-01,3.8,0.0,0.0,0.0,,79,59,,,,,,
518,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-02,4.47,0.01,0.0,0.0,,76,57,,,,,,
519,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-03,3.58,0.01,0.0,0.0,,73,55,,,,,,
520,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-04,2.24,0.09,0.0,0.0,,70,56,1.0,,,,,1.0
521,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-05,4.92,0.02,0.0,0.0,,67,58,1.0,,,,,1.0
522,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-06,7.16,0.06,0.0,0.0,,58,52,1.0,,,,,
523,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-07,3.36,0.0,0.0,0.0,,67,51,,,,,,
524,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-08,3.8,0.0,0.0,0.0,,69,55,,,,,,
525,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-09,4.7,0.0,0.0,0.0,,80,53,,,,,,
526,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-10,3.58,0.0,0.0,0.0,,85,66,,,,,,
527,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-11,5.14,0.0,0.0,0.0,,90,72,,,,,,
528,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-12,3.8,0.0,0.0,0.0,,93,76,,,,,,
529,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-13,3.13,0.0,0.0,0.0,,94,77,,,,,,
530,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-14,4.7,0.29,0.0,0.0,,84,69,1.0,,,,,
531,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-15,4.25,0.0,0.0,0.0,,76,64,,,,,,
532,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-16,5.14,0.0,0.0,0.0,,68,63,1.0,,,,,1.0
533,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-17,2.24,1.39,0.0,0.0,,74,66,1.0,,,,,1.0
534,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-18,3.58,0.0,0.0,0.0,,85,70,1.0,,,,,
535,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-19,3.8,1.35,0.0,0.0,,88,70,1.0,1.0,,,,1.0
536,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-20,5.14,0.03,0.0,0.0,,83,71,1.0,,,,,
537,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-21,4.7,0.0,0.0,0.0,,83,71,,,,,,
538,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-22,2.24,0.0,0.0,0.0,,83,68,,,,,,
539,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-23,4.92,0.04,0.0,0.0,,83,76,1.0,,,,,
540,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-24,5.37,1.29,0.0,0.0,,84,71,1.0,,,,,
541,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-25,2.46,0.0,0.0,0.0,,83,68,,,,,,
542,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-26,3.13,0.0,0.0,0.0,,79,64,,,,,,
543,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-27,3.58,0.18,0.0,0.0,,77,60,1.0,,,,,
544,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-28,4.92,0.0,0.0,0.0,,78,61,,,,,,
545,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-29,5.37,0.0,0.0,0.0,,82,68,,,,,,
546,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-30,5.82,0.0,0.0,0.0,,88,73,,,,,,
547,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-01,4.03,0.23,0.0,0.0,,85,71,1.0,,,,,1.0
548,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-02,4.92,0.0,0.0,0.0,,87,72,1.0,,,,,
549,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-03,1.79,0.45,0.0,0.0,,88,71,1.0,,,,,1.0
550,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-04,2.68,0.0,0.0,0.0,,85,70,,,,,,1.0
551,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-05,4.92,0.0,0.0,0.0,,85,70,,,,,,
552,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-06,3.58,0.0,0.0,0.0,,77,71,,,,,,
553,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-07,5.37,1.78,0.0,0.0,,80,68,1.0,1.0,,,,
554,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-08,3.36,0.0,0.0,0.0,,84,69,1.0,,,,,
555,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-09,3.58,0.0,0.0,0.0,,81,67,,,,,,
556,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-10,3.36,0.0,0.0,0.0,,84,68,,,,,,1.0
557,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-11,3.13,0.0,0.0,0.0,,85,75,,,,,,
558,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-12,5.14,0.0,0.0,0.0,,88,77,,,,,,
559,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-13,4.92,0.0,0.0,0.0,,90,73,,,,,,
560,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-14,4.7,0.35,0.0,0.0,,73,65,1.0,,,,,
561,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-15,3.36,0.0,0.0,0.0,,84,68,1.0,,,,,
562,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-16,2.68,0.0,0.0,0.0,,87,68,,,,,,
563,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-17,2.68,0.0,0.0,0.0,,85,73,,,,,,
564,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-18,2.91,0.0,0.0,0.0,,88,73,,,,,,
565,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-19,3.13,0.0,0.0,0.0,,92,77,,,,,,
566,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-20,2.91,0.01,0.0,0.0,,94,77,,,,,,
567,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-21,3.8,0.0,0.0,0.0,,92,76,,,,,,
568,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-22,2.46,0.57,0.0,0.0,,92,71,1.0,,,,,
569,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-23,2.68,0.06,0.0,0.0,,79,71,1.0,,,,,1.0
570,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-24,6.71,0.74,0.0,0.0,,73,63,1.0,,,,,
571,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-25,5.14,0.0,0.0,0.0,,71,62,,,,,,
572,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-26,3.8,0.0,0.0,0.0,,77,65,,,,,,
573,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-27,2.46,0.0,0.0,0.0,,78,65,,,,,,
574,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-28,2.91,0.0,0.0,0.0,,85,71,1.0,,,,,1.0
575,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-29,9.4,0.0,0.0,0.0,,77,67,,,,,,
576,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-30,4.25,0.0,0.0,0.0,,82,64,,,,,,
577,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-31,2.01,0.0,0.0,0.0,,88,66,,,,,,
578,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-01,2.68,0.0,0.0,0.0,,92,71,,,,,,
579,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-02,1.57,0.09,0.0,0.0,,86,69,1.0,,,,,1.0
580,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-03,1.79,0.0,0.0,0.0,,87,68,1.0,,,,,1.0
581,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-04,4.25,0.15,0.0,0.0,,84,69,1.0,,,,,
582,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-05,4.47,0.3,0.0,0.0,,78,69,1.0,,,,,1.0
583,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-06,3.8,0.0,0.0,0.0,,76,64,,,,,,
584,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-07,2.46,0.76,0.0,0.0,,71,64,1.0,,,,,
585,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-08,2.91,0.0,0.0,0.0,,78,65,1.0,,,,,
586,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-09,1.34,0.0,0.0,0.0,,85,64,,,,,,
587,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-10,2.24,0.0,0.0,0.0,,83,68,,,,,,
588,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-11,2.68,0.0,0.0,0.0,,82,69,,,,,,
589,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-12,3.36,0.11,0.0,0.0,,77,64,1.0,,,,,
590,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-13,3.8,0.0,0.0,0.0,,83,71,,,,,,
591,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-14,2.24,0.0,0.0,0.0,,80,70,,,,,,
592,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-15,1.12,0.45,0.0,0.0,,74,68,1.0,,,,,
593,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-16,2.24,0.0,0.0,0.0,,87,70,1.0,,,,,
594,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-17,3.13,0.0,0.0,0.0,,83,69,1.0,,,,,
595,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-18,3.36,0.88,0.0,0.0,,82,73,1.0,1.0,,,,
596,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-19,2.91,0.0,0.0,0.0,,86,73,1.0,,,,,
597,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-20,4.47,0.0,0.0,0.0,,81,69,,,,,,
598,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-21,3.36,0.0,0.0,0.0,,87,71,,,,,,
599,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-22,5.14,0.3,0.0,0.0,,89,72,1.0,,,,,1.0
600,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-23,4.03,0.0,0.0,0.0,,81,70,1.0,,,,,
601,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-24,3.13,0.0,0.0,0.0,,80,65,,,,,,
602,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-25,2.46,0.0,0.0,0.0,,78,63,,,,,,
603,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-26,3.8,0.0,0.0,0.0,,78,62,,,,,,
604,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-27,4.47,0.0,0.0,0.0,,78,63,,,,,,
605,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-28,6.26,0.0,0.0,0.0,,76,63,,,,,,1.0
606,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-29,8.05,0.29,0.0,0.0,,68,61,1.0,,,,,
607,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-30,5.14,0.01,0.0,0.0,,78,60,1.0,,,,,
608,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-31,3.8,0.0,0.0,0.0,,81,64,,,,,,
609,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-01,4.92,0.0,0.0,0.0,,71,55,,,,,,
610,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-02,5.59,0.53,0.0,0.0,,68,54,1.0,,,,,
611,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-03,5.59,0.74,0.0,0.0,,69,59,1.0,,,,,
612,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-04,4.7,0.0,0.0,0.0,,80,61,,,,,,
613,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-05,3.13,0.0,0.0,0.0,,85,69,,,,,,
614,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-06,3.8,0.42,0.0,0.0,,72,61,1.0,,,,,
615,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-07,4.92,0.01,0.0,0.0,,71,59,1.0,,,,,
616,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-08,3.8,0.0,0.0,0.0,,71,58,,,,,,
617,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-09,4.03,0.0,0.0,0.0,,70,55,,,,,,
618,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-10,5.82,0.0,0.0,0.0,,72,57,,,,,,
619,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-11,2.01,0.0,0.0,0.0,,76,55,,,,,,
620,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-12,1.34,0.0,0.0,0.0,,78,59,,,,,,
621,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-13,2.46,0.06,0.0,0.0,,83,64,1.0,,,,,
622,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-14,2.24,0.02,0.0,0.0,,81,70,1.0,,,,,
623,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-15,1.57,0.0,0.0,0.0,,81,67,,,,,,
624,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-16,2.91,0.0,0.0,0.0,,82,70,1.0,,,,,1.0
625,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-17,2.68,0.0,0.0,0.0,,81,68,1.0,,,,,1.0
626,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-18,6.93,0.0,0.0,0.0,,73,68,1.0,,,,,
627,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-19,9.84,0.22,0.0,0.0,,78,69,1.0,,,,,
628,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-20,6.26,0.0,0.0,0.0,,79,71,,,,,,
629,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-21,5.59,0.0,0.0,0.0,,80,71,,,,,,
630,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-22,7.16,0.0,0.0,0.0,,82,66,,,,,,
631,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-23,4.7,0.0,0.0,0.0,,87,68,,,,,,
632,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-24,1.57,0.0,0.0,0.0,,91,69,,,,,,
633,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-25,2.91,0.0,0.0,0.0,,88,70,,,,,,
634,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-26,2.01,0.0,0.0,0.0,,84,68,1.0,,,,,1.0
635,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-27,3.8,0.0,0.0,0.0,,87,69,,,,,,
636,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-28,5.82,0.0,0.0,0.0,,79,59,1.0,,,,,
637,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-29,2.46,0.0,0.0,0.0,,68,55,,,,,,
638,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-30,6.26,0.0,0.0,0.0,,66,54,,,,,,
639,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-01,2.91,0.0,0.0,0.0,,68,50,,,,,,
640,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-02,2.46,0.0,0.0,0.0,,73,52,,,,,,
641,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-03,3.13,0.0,0.0,0.0,,71,57,,,,,,1.0
642,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-04,4.92,0.0,0.0,0.0,,75,56,,,,,,
643,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-05,4.92,0.0,0.0,0.0,,83,65,,,,,,
644,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-06,2.46,0.0,0.0,0.0,,82,68,,,,,,
645,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-07,4.03,0.0,0.0,0.0,,81,66,1.0,,,,,1.0
646,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-08,4.92,0.22,0.0,0.0,,77,72,1.0,,,,,
647,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-09,4.92,0.26,0.0,0.0,,77,71,1.0,,,,,
648,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-10,2.91,0.0,0.0,0.0,,81,66,,,,,,
649,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-11,5.82,0.06,0.0,0.0,,77,60,1.0,,,,,
